onset	duration	Task
0	10	baseline
10	5	Instruc Fixation
15	15	baseline
30	2.5	Cue _ trial 1
32.5	10	Delay
42.5	2.5	Go and Move
45	15	ITI
60	2.5	Cue _ trial 2
62.5	10	Delay
72.5	2.5	Go and Move
75	15	ITI
90	2.5	Cue _ trial 3
92.5	10	Delay
102.5	2.5	Go and Move
105	15	ITI
120	2.5	Cue _ trial 4
122.5	10	Delay
132.5	2.5	Go and Move
135	15	ITI
150	2.5	Cue _ trial 5
152.5	10	Delay
162.5	2.5	Go and Move
165	15	ITI
180	2.5	Cue _ trial 6
182.5	10	Delay
192.5	2.5	Go and Move
195	15	ITI
210	2.5	Cue _ trial 7
212.5	10	Delay
222.5	2.5	Go and Move
225	15	ITI
240	2.5	Cue _ trial 8
242.5	10	Delay
252.5	2.5	Go and Move
255	15	ITI
270	5	Instruc Standard
275	15	baseline
290	2.5	Cue _ trial 1
292.5	10	Delay
302.5	2.5	Go and Move
305	15	ITI
320	2.5	Cue _ trial 2
322.5	10	Delay
332.5	2.5	Go and Move
335	15	ITI
350	2.5	Cue _ trial 3
352.5	10	Delay
362.5	2.5	Go and Move
365	15	ITI
380	2.5	Cue _ trial 4
382.5	10	Delay
392.5	2.5	Go and Move
395	15	ITI
410	2.5	Cue _ trial 5
412.5	10	Delay
422.5	2.5	Go and Move
425	15	ITI
440	2.5	Cue _ trial 6
442.5	10	Delay
452.5	2.5	Go and Move
455	15	ITI
470	2.5	Cue _ trial 7
472.5	10	Delay
482.5	2.5	Go and Move
485	15	ITI
500	2.5	Cue _ trial 8
502.5	10	Delay
512.5	2.5	Go and Move
515	15	ITI
530	5	Instruc Dissociated
535	15	baseline
550	2.5	Cue _ trial 1
552.5	10	Delay
562.5	2.5	Go and Move
565	15	ITI
580	2.5	Cue _ trial 2
582.5	10	Delay
592.5	2.5	Go and Move
595	15	ITI
610	2.5	Cue _ trial 3
612.5	10	Delay
622.5	2.5	Go and Move
625	15	ITI
640	2.5	Cue _ trial 4
642.5	10	Delay
652.5	2.5	Go and Move
655	15	ITI
670	2.5	Cue _ trial 5
672.5	10	Delay
682.5	2.5	Go and Move
685	15	ITI
700	2.5	Cue _ trial 6
702.5	10	Delay
712.5	2.5	Go and Move
715	15	ITI
730	2.5	Cue _ trial 7
732.5	10	Delay
742.5	2.5	Go and Move
745	15	ITI
760	2.5	Cue _ trial 8
762.5	10	Delay
772.5	2.5	Go and Move
775	15	ITI
